InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
556503,15056N,EDWARDIAN PARASOL NATURAL,3,6/13/2011 8:44,5.95,13517.0,United Kingdom
577550,23101,SILVER STARS TABLE DECORATION,12,11/20/2011 15:05,0.83,17738.0,United Kingdom
545333,82482,WOODEN PICTURE FRAME WHITE FINISH,1,3/1/2011 16:22,4.96,,United Kingdom
575875,21231,SWEETHEART CERAMIC TRINKET BOX,2,11/11/2011 13:06,2.46,,United Kingdom
573585,22309,TEA COSY RED  STRIPE,1,10/31/2011 14:41,4.96,,United Kingdom
579711,23378,PACK OF 12 50'S CHRISTMAS TISSUES,1,11/30/2011 14:17,0.39,15060.0,United Kingdom
545713,21556,CERAMIC STRAWBERRY MONEY BOX,1,3/7/2011 10:11,4.13,,United Kingdom
571197,47480,HANGING PHOTO CLIP ROPE LADDER,1,10/14/2011 12:08,1.65,16413.0,United Kingdom
551718,21974,SET OF 36 PAISLEY FLOWER DOILIES,1,5/3/2011 16:06,2.92,,United Kingdom
536640,21914,BLUE HARMONICA IN BOX ,1,12/2/2010 11:45,1.25,,United Kingdom
549538,84584,PINK GINGHAM CAT WITH SCARF,1,4/8/2011 17:25,2.55,17961.0,United Kingdom
570082,23392,SPACEBOY ROCKET LOLLY MAKERS,6,10/7/2011 11:19,2.08,12524.0,Germany
578998,23214,JINGLE BELL HEART ANTIQUE GOLD,1,11/27/2011 16:05,2.08,15436.0,United Kingdom
565431,21899,GARAGE KEY FOB,6,9/4/2011 13:15,0.65,14965.0,United Kingdom
550651,85049E,SCANDINAVIAN REDS RIBBONS,1,4/19/2011 16:52,1.25,15436.0,United Kingdom
547785,22607,WOODEN ROUNDERS GARDEN SET ,2,3/25/2011 11:41,9.95,13097.0,United Kingdom
C570850,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,-40,10/12/2011 14:44,2.55,15473.0,United Kingdom
576617,21058,PARTY INVITES WOODLAND,1,11/15/2011 16:57,1.63,,United Kingdom
577286,22196,SMALL HEART MEASURING SPOONS,2,11/18/2011 12:39,0.85,14606.0,United Kingdom
571257,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,10/14/2011 17:17,4.13,,United Kingdom
574701,23184,BULL DOG BOTTLE OPENER,1,11/6/2011 13:54,4.95,15426.0,United Kingdom
572567,20723,STRAWBERRY CHARLOTTE BAG,10,10/25/2011 10:27,0.85,12398.0,Switzerland
570818,85099B,JUMBO BAG RED RETROSPOT,3,10/12/2011 12:47,2.08,17841.0,United Kingdom
554310,21658,GLASS  BEURRE DISH,1,5/23/2011 15:25,8.29,,United Kingdom
553179,23201,JUMBO BAG ALPHABET,3,5/15/2011 11:30,2.08,15440.0,United Kingdom
558416,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3,6/29/2011 10:50,2.95,16059.0,United Kingdom
558751,20763,DAISY SKETCHBOOK ,2,7/3/2011 11:26,3.75,16009.0,United Kingdom
571056,22466,FAIRY TALE COTTAGE NIGHT LIGHT,12,10/13/2011 14:10,1.95,15367.0,United Kingdom
538514,21524,DOORMAT SPOTTY HOME SWEET HOME,3,12/12/2010 14:27,7.95,15044.0,United Kingdom
580367,23213,STAR WREATH DECORATION WITH BELL,1,12/2/2011 16:39,2.46,,United Kingdom
555642,23091,ZINC HERB GARDEN CONTAINER,3,6/6/2011 13:18,6.25,18248.0,United Kingdom
571442,21755,LOVE BUILDING BLOCK WORD,2,10/17/2011 13:39,6.25,17049.0,United Kingdom
574866,21914,BLUE HARMONICA IN BOX ,4,11/7/2011 12:34,1.25,12748.0,United Kingdom
575739,22653,BUTTON BOX ,14,11/11/2011 9:05,1.63,,United Kingdom
566789,23351,ROLL WRAP 50'S CHRISTMAS,12,9/15/2011 10:35,1.25,13134.0,United Kingdom
558557,22729,ALARM CLOCK BAKELIKE ORANGE,12,6/30/2011 13:17,3.75,13282.0,United Kingdom
560926,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,1,7/22/2011 9:20,10.79,,United Kingdom
577531,22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",1,11/20/2011 13:58,24.96,,United Kingdom
580720,23090,VINTAGE GLASS T-LIGHT HOLDER,4,12/5/2011 16:55,0.83,14629.0,United Kingdom
560209,22488,NATURAL SLATE RECTANGLE CHALKBOARD,2,7/15/2011 14:05,1.65,15004.0,United Kingdom
558774,90170,DAISY HAIR BAND,1,7/4/2011 10:17,1.65,,United Kingdom
581181,22438,BALLOON ART MAKE YOUR OWN FLOWERS,50,12/7/2011 15:55,0.39,14189.0,United Kingdom
569253,23438, RED SPOT GIFT BAG LARGE,12,10/3/2011 10:55,1.25,13635.0,United Kingdom
578100,23295,SET OF 12 MINI LOAF BAKING CASES,8,11/23/2011 8:17,0.83,15814.0,United Kingdom
544479,20979,36 PENCILS TUBE RED RETROSPOT,128,2/21/2011 10:28,1.06,14646.0,Netherlands
563214,20996,JAZZ HEARTS ADDRESS BOOK,6,8/14/2011 12:56,0.19,16370.0,United Kingdom
564039,22534,MAGIC DRAWING SLATE SPACEBOY ,24,8/22/2011 12:40,0.42,12645.0,Germany
545937,22492,MINI PAINT SET VINTAGE ,72,3/8/2011 12:05,0.65,12758.0,Portugal
550633,21136,PAINTED METAL PEARS ASSORTED,4,4/19/2011 14:57,1.69,17449.0,United Kingdom
568566,23332,IVORY WICKER HEART LARGE,8,9/27/2011 17:47,1.65,17609.0,United Kingdom
548714,22427,ENAMEL FLOWER JUG CREAM,1,4/3/2011 15:07,5.95,17337.0,United Kingdom
570488,85176,SEWING SUSAN 21 NEEDLE SET,1,10/10/2011 17:12,1.63,14096.0,United Kingdom
569246,21975,PACK OF 60 DINOSAUR CAKE CASES,1,10/3/2011 9:57,1.25,14096.0,United Kingdom
550638,22088,PAPER BUNTING COLOURED LACE,1,4/19/2011 15:44,5.79,,United Kingdom
546925,22989,SET 2 PANTRY DESIGN TEA TOWELS,6,3/18/2011 10:09,3.25,12647.0,Germany
571212,21328,BALLOONS  WRITING SET ,4,10/14/2011 12:53,1.65,12856.0,United Kingdom
581219,23310,BUBBLEGUM RING ASSORTED,3,12/8/2011 9:28,0.83,,United Kingdom
567667,20713,JUMBO BAG OWLS,2,9/21/2011 15:24,4.13,,United Kingdom
553199,23298,SPOTTY BUNTING,3,5/15/2011 15:14,4.95,17758.0,United Kingdom
539658,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/21/2010 9:34,2.95,17213.0,United Kingdom
543193,22624,IVORY KITCHEN SCALES,2,2/4/2011 12:18,8.5,13725.0,United Kingdom
566258,22924,FRIDGE MAGNETS LA VIE EN ROSE,24,9/11/2011 12:45,0.85,13124.0,United Kingdom
577078,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,1,11/17/2011 15:17,2.46,,United Kingdom
541971,22464,HANGING METAL HEART LANTERN,1,1/24/2011 13:48,3.29,,United Kingdom
539856,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/22/2010 14:41,0.0,,United Kingdom
541430,22195,LARGE HEART MEASURING SPOONS,12,1/18/2011 9:50,1.65,12356.0,Portugal
571054,20766,GARDEN PATH SKETCHBOOK,1,10/13/2011 13:58,3.75,14234.0,United Kingdom
568069,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,9/23/2011 14:05,1.25,13336.0,United Kingdom
567662,23201,JUMBO BAG ALPHABET,2,9/21/2011 15:12,2.08,17758.0,United Kingdom
565233,21899,GARAGE KEY FOB,1,9/2/2011 9:34,1.63,,United Kingdom
563022,20717,STRAWBERRY SHOPPER BAG,2,8/11/2011 13:34,1.25,17248.0,United Kingdom
578369,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4,11/24/2011 11:10,3.75,14698.0,United Kingdom
545660,79026B,"S/4 ICON COASTER,ELVIS LIVES",1,3/4/2011 14:28,1.25,17191.0,United Kingdom
571850,23247,BISCUIT TIN 50'S CHRISTMAS,4,10/19/2011 12:54,2.89,14698.0,United Kingdom
559499,23206,LUNCH BAG APPLE DESIGN,1,7/8/2011 14:22,4.96,,United Kingdom
572237,23660,HENRIETTA HEN MUG ,12,10/21/2011 14:49,1.65,15152.0,United Kingdom
539048,16225,RATTLE SNAKE EGGS,192,12/15/2010 16:19,0.42,17752.0,United Kingdom
556341,21179,NO JUNK MAIL METAL SIGN,12,6/10/2011 11:36,1.25,16614.0,United Kingdom
575176,51014C,"FEATHER PEN,COAL BLACK",2,11/8/2011 18:29,0.83,,United Kingdom
553462,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,5/17/2011 10:57,1.25,17147.0,United Kingdom
562528,21936,RED RETROSPOT PICNIC BAG,5,8/5/2011 13:52,2.95,12610.0,Italy
561617,22365,DOORMAT RESPECTABLE HOUSE,2,7/28/2011 13:05,7.95,18237.0,United Kingdom
577785,23571,TRADITIONAL NAUGHTS & CROSSES,4,11/21/2011 16:25,1.65,16369.0,United Kingdom
557969,22356,CHARLOTTE BAG PINK POLKADOT,20,6/24/2011 10:03,0.85,13856.0,United Kingdom
564976,22457,NATURAL SLATE HEART CHALKBOARD ,5,8/31/2011 15:49,2.95,17315.0,United Kingdom
578736,23084,RABBIT NIGHT LIGHT,120,11/25/2011 11:33,1.79,12681.0,France
565149,85019B,BLOSSOM  IMAGES NOTEBOOK SET,24,9/1/2011 14:13,1.25,14414.0,United Kingdom
561218,22470,HEART OF WICKER LARGE,1,7/25/2011 17:11,3.29,,United Kingdom
571281,20750,RED RETROSPOT MINI CASES,18,10/16/2011 13:23,6.35,14088.0,United Kingdom
560773,82567,"AIRLINE LOUNGE,METAL SIGN",3,7/20/2011 16:17,1.63,,United Kingdom
572350,21592,RETROSPOT CIGAR BOX MATCHES ,1,10/24/2011 11:33,1.25,15516.0,United Kingdom
561072,22429,ENAMEL MEASURING JUG CREAM,4,7/24/2011 15:39,4.25,14019.0,United Kingdom
566008,20652,BLUE POLKADOT LUGGAGE TAG ,2,9/8/2011 12:04,1.25,16426.0,United Kingdom
543532,21181,PLEASE ONE PERSON METAL SIGN,1,2/9/2011 12:59,4.13,,United Kingdom
559923,21329,DINOSAURS  WRITING SET ,18,7/13/2011 16:07,0.83,,United Kingdom
547651,22595,GINGHAM HEART DECORATION,1,3/24/2011 12:11,0.85,16904.0,United Kingdom
557645,22908,PACK OF 20 NAPKINS RED APPLES,1,6/21/2011 17:08,1.63,,United Kingdom
564066,23359,SET OF 12 T-LIGHTS VINTAGE DOILY,12,8/22/2011 15:05,1.95,17703.0,United Kingdom
568912,22360,GLASS JAR ENGLISH CONFECTIONERY,2,9/29/2011 13:45,2.95,17528.0,United Kingdom
564087,22139,RETROSPOT TEA SET CERAMIC 11 PC ,24,8/23/2011 9:38,4.25,,Hong Kong
558475,82483,WOOD 2 DRAWER CABINET WHITE FINISH,1,6/29/2011 15:58,14.13,,United Kingdom
569220,23507,MINI PLAYING CARDS BUFFALO BILL ,2,10/2/2011 13:26,0.42,16007.0,United Kingdom
549954,22666,RECIPE BOX PANTRY YELLOW DESIGN,2,4/13/2011 13:25,2.95,13700.0,United Kingdom
555947,85227,SET OF 6 3D KIT CARDS FOR KIDS,120,6/8/2011 10:45,0.64,14911.0,EIRE
578954,22834,HAND WARMER BABUSHKA DESIGN,1,11/27/2011 15:02,2.1,15054.0,United Kingdom
577311,21930,JUMBO STORAGE BAG SKULLS,2,11/18/2011 13:16,2.08,18225.0,United Kingdom
571508,22492,MINI PAINT SET VINTAGE ,2,10/17/2011 15:27,1.63,,United Kingdom
554918,84596L,BISCUITS SMALL BOWL LIGHT BLUE,1,5/27/2011 12:29,0.42,17345.0,United Kingdom
546851,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,3/17/2011 13:23,0.85,12480.0,Germany
544599,22083,PAPER CHAIN KIT RETROSPOT,1,2/21/2011 18:15,5.79,,United Kingdom
556073,22800,ANTIQUE TALL SWIRLGLASS TRINKET POT,4,6/8/2011 15:05,3.75,16358.0,United Kingdom
580164,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,12/2/2011 11:16,0.85,18097.0,United Kingdom
575886,22327,ROUND SNACK BOXES SET OF 4 SKULLS,2,11/11/2011 13:57,2.95,12517.0,Germany
581416,22466,FAIRY TALE COTTAGE NIGHT LIGHT,1,12/8/2011 14:58,1.95,14569.0,United Kingdom
562146,23209,LUNCH BAG DOILEY PATTERN ,10,8/3/2011 10:45,1.65,17675.0,United Kingdom
569141,22568,FELTCRAFT CUSHION OWL,4,9/30/2011 15:02,3.75,13021.0,United Kingdom
565751,21034,REX CASH+CARRY JUMBO SHOPPER,2,9/6/2011 12:56,0.95,16393.0,United Kingdom
547658,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,2,3/24/2011 13:04,0.85,13736.0,United Kingdom
562275,22898,CHILDRENS APRON APPLES DESIGN,8,8/4/2011 10:04,1.95,12689.0,France
C563856,21789,KIDS RAIN MAC PINK,-19,8/19/2011 15:39,0.85,13090.0,United Kingdom
547064,22997,TRAVEL CARD WALLET UNION JACK,24,3/20/2011 13:38,0.42,16096.0,United Kingdom
571441,21903,MAN FLU METAL SIGN,3,10/17/2011 13:31,4.13,14096.0,United Kingdom
550477,22970,LONDON BUS COFFEE MUG,6,4/18/2011 14:01,2.55,17338.0,United Kingdom
570852,23014,GLASS APOTHECARY BOTTLE ELIXIR,12,10/12/2011 14:48,3.45,13078.0,United Kingdom
557295,22382,LUNCH BAG SPACEBOY DESIGN ,10,6/19/2011 13:37,1.65,12724.0,France
577691,22699,ROSES REGENCY TEACUP AND SAUCER ,1,11/21/2011 11:34,2.95,14587.0,United Kingdom
564840,22549,PICTURE DOMINOES,1,8/30/2011 12:49,3.29,,United Kingdom
C562622,M,Manual,-1,8/8/2011 12:37,48.0,15299.0,United Kingdom
552493,21718,RED METAL BEACH SPADE ,1,5/9/2011 16:21,2.46,,United Kingdom
580322,22601,CHRISTMAS RETROSPOT ANGEL WOOD,12,12/2/2011 15:48,0.85,17567.0,United Kingdom
540551,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,8,1/10/2011 9:43,8.47,,United Kingdom
544455,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,2,2/20/2011 13:18,2.95,13097.0,United Kingdom
568551,22784,LANTERN CREAM GAZEBO ,3,9/27/2011 14:58,4.95,14883.0,United Kingdom
546998,20718,RED RETROSPOT SHOPPER BAG,2,3/18/2011 13:32,1.25,16023.0,United Kingdom
566770,23245,SET OF 3 REGENCY CAKE TINS,8,9/15/2011 8:55,4.95,15304.0,United Kingdom
560048,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,7/14/2011 15:02,0.85,13515.0,United Kingdom
549316,23051,RECYCLED ACAPULCO MAT BLUE,4,4/8/2011 9:54,8.25,12705.0,Germany
541104,84988,SET OF 72 PINK HEART PAPER DOILIES,1,1/13/2011 14:29,2.92,,United Kingdom
562264,22109,FULL ENGLISH BREAKFAST PLATE,2,8/3/2011 16:14,7.46,,United Kingdom
579539,23382,BOX OF 6 CHRISTMAS CAKE DECORATIONS,4,11/30/2011 10:06,3.75,14911.0,EIRE
541516,84968F,SET OF 16 VINTAGE SKY BLUE CUTLERY,3,1/18/2011 17:34,8.29,,United Kingdom
580816,21417,COCKLE SHELL DISH,12,12/6/2011 11:28,0.79,15157.0,United Kingdom
576575,23210,WHITE ROCKING HORSE HAND PAINTED,24,11/15/2011 13:55,1.25,16295.0,United Kingdom
577252,22632,HAND WARMER RED RETROSPOT,3,11/18/2011 12:22,2.1,18034.0,United Kingdom
580914,23389,SPACEBOY MINI BACKPACK,1,12/6/2011 13:42,4.15,14871.0,United Kingdom
541112,15056N,EDWARDIAN PARASOL NATURAL,3,1/13/2011 15:17,5.95,18085.0,United Kingdom
570824,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,10/12/2011 12:58,0.83,14299.0,United Kingdom
561861,21533,RETROSPOT LARGE MILK JUG,12,7/31/2011 10:28,4.25,16839.0,United Kingdom
558475,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,1,6/29/2011 15:58,2.46,,United Kingdom
565453,23344,JUMBO BAG 50'S CHRISTMAS ,10,9/4/2011 16:05,2.08,15136.0,United Kingdom
555203,21591,COSY HOUR CIGAR BOX MATCHES ,1,6/1/2011 12:13,1.25,17191.0,United Kingdom
550360,20685,DOORMAT RED RETROSPOT,1,4/18/2011 10:55,7.95,14978.0,United Kingdom
572194,37489A,YELLOW/PINK FLOWER DESIGN BIG MUG,1,10/21/2011 11:43,0.39,17832.0,United Kingdom
556632,48129,DOORMAT TOPIARY,2,6/13/2011 15:09,7.95,16987.0,United Kingdom
539750,21931,JUMBO STORAGE BAG SUKI,35,12/21/2010 15:40,5.06,,United Kingdom
537823,22619,SET OF 6 SOLDIER SKITTLES,3,12/8/2010 14:25,7.62,,United Kingdom
541414,21756,BATH BUILDING BLOCK WORD,1,1/17/2011 16:14,5.95,18212.0,United Kingdom
542221,22384,LUNCH BAG PINK POLKADOT,1,1/26/2011 12:40,1.65,14978.0,United Kingdom
571477,21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18,10/17/2011 14:54,0.79,12794.0,Portugal
542898,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,2/1/2011 14:01,2.95,16110.0,United Kingdom
578940,23301,GARDENERS KNEELING PAD KEEP CALM ,22,11/27/2011 13:18,4.13,,United Kingdom
568568,21832,CHOCOLATE CALCULATOR,12,9/28/2011 8:48,1.65,14412.0,United Kingdom
572661,22969,HOMEMADE JAM SCENTED CANDLES,72,10/25/2011 12:38,1.45,17193.0,United Kingdom
580771,22118,JOY WOODEN BLOCK LETTERS,5,12/6/2011 10:58,1.25,16015.0,United Kingdom
578950,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,11/27/2011 14:40,2.08,17885.0,United Kingdom
559052,22423,REGENCY CAKESTAND 3 TIER,2,7/5/2011 16:53,24.96,,United Kingdom
570499,20977,36 PENCILS TUBE WOODLAND,16,10/11/2011 9:19,1.25,12772.0,Portugal
555556,84879,ASSORTED COLOUR BIRD ORNAMENT,32,6/5/2011 14:04,1.69,15704.0,United Kingdom
536876,22588,CARD HOLDER GINGHAM HEART,3,12/3/2010 11:36,2.55,,United Kingdom
568802,22732,3D VINTAGE CHRISTMAS STICKERS ,18,9/29/2011 10:49,1.25,14834.0,United Kingdom
573876,21452,TOADSTOOL MONEY BOX,2,11/1/2011 12:48,2.95,16360.0,United Kingdom
550500,DOT,DOTCOM POSTAGE,1,4/18/2011 15:26,222.02,,United Kingdom
558232,21157,RED RETROSPOT WASHBAG,1,6/27/2011 14:30,2.1,17841.0,United Kingdom
544112,20713,JUMBO BAG OWLS,10,2/16/2011 11:37,1.95,15039.0,United Kingdom
562558,22505,MEMO BOARD COTTAGE DESIGN,2,8/5/2011 16:43,4.95,13451.0,United Kingdom
559816,21519,GIN & TONIC DIET GREETING CARD ,2,7/12/2011 16:11,0.83,,United Kingdom
581433,21442,GREEN BIRDHOUSE DECORATION,24,12/8/2011 15:54,0.19,14911.0,EIRE
565231,21126,SET OF 6 GIRLS CELEBRATION CANDLES,2,9/2/2011 9:26,1.25,,United Kingdom
537829,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,18,12/8/2010 14:46,2.95,15498.0,United Kingdom
570872,22337,ANGEL DECORATION PAINTED ZINC ,4,10/12/2011 16:40,0.63,,United Kingdom
